Name,Gender,Rank,Score,Count
Mareike,f,,0,0
Maren,f,,0,0
Maria,f,,0,0
Marie,f,,0,0
Marieke,f,,0,0
Mariella,f,,0,0
Marina,f,,0,0
Marisa,f,,0,0
Marit,f,,0,0
Marla,f,,0,0
Marlena,f,,0,0
Marlene,f,,0,0
Marta,f,,0,0
Mary,f,,0,0
Maryam,f,,-500,0
Mathea,f,,0,0
Mathilde,f,,0,0
Matilda,f,,0,0
Maxi,f,,0,0
Maxima,f,,0,0
Medina,f,,0,0
Megan,f,,0,0
Meike,f,,0,0
Melanie,f,,0,0
Melek,f,,0,0
Melina,f,,0,0
Melinda,f,,0,0
Melissa,f,,0,0
Melody,f,,0,0
Merle,f,,0,0
Merve,f,,0,0
Mette,f,,0,0
Mia,f,,0,0
Michelle,f,,0,0
Mieke,f,,0,0
Mika,f,,0,0
Mila,f,,0,0
Milena,f,,0,0
Miley,f,,0,0
Milla,f,,0,0
Minna,f,,0,0
Mira,f,,0,0
Miriam,f,,-500,0
Mirja,f,,0,0
Nadine,f,,0,0
Naemi,f,,0,0
Naomi,f,,0,0
Natalia,f,,0,0
Nathalie,f,,0,0
Nayla,f,,0,0
Nea,f,,0,0
Nele,f,,0,0
Nelly,f,,0,0
Nia,f,,0,0
Nicole,f,,0,0
Nike,f,,0,0
Nina,f,,0,0
Nisanur,f,,0,0
Noemi,f,,0,0
Nora,f,,0,0
Nova,f,,0,0
Olivia,f,,0,0
Patricia,f,,0,0
Paula,f,,0,0
Pauline,f,,0,0
Penelope,f,,0,0
Philine,f,,0,0
Philippa,f,,0,0
Phoebe,f,,0,0
Pia,f,,0,0
Polly,f,,0,0
Rahel,f,,0,0
Raphaela,f,,0,0
Rebekka,f,,0,0
Ria,f,,0,0
Rieke,f,,0,0
Rita,f,,0,0
Romy,f,,0,0
Ronja,f,,0,0
Rosa,f,,0,0
Rosalie,f,,0,0
Ruby,f,,0,0
Runa,f,,0,0
Ruth,f,,-500,0
Sabrina,f,,0,0
Salome,f,,0,0
Samantha,f,,0,0
Samira,f,,0,0
Sandra,f,,0,0
Saphira,f,,0,0
Sarah,f,,0,0
Sarina,f,,0,0
Saskia,f,,0,0
Scarlett,f,,0,0
Selina,f,,0,0
Selma,f,,0,0
Seraphina,f,,0,0
Shania,f,,0,0
Sharon,f,,0,0
Shirin,f,,0,0
Sienna,f,,0,0
Sila,f,,0,0
Sina,f,,0,0
Smilla,f,,0,0
Sonja,f,,0,0
Sophia,f,,-500,0
Sophie,f,,-500,0
Soraya,f,,0,0
Stefanie,f,,0,0
Stella,f,,0,0
Stina,f,,0,0
Stine,f,,0,0
Svea,f,,0,0
Svenja,f,,0,0
Sydney,f,,0,0
Tabea,f,,0,0
Talia,f,,0,0
Tamara,f,,0,0
Tamina,f,,0,0
Tanja,f,,0,0
Tara,f,,0,0
Tessa,f,,0,0
Thea,f,,0,0
Theresa ,f,,0,0
Tiana,f,,0,0
Tilda,f,,0,0
Timea,f,,0,0
Tina,f,,0,0
Tuana,f,,0,0
Valentina,f,,0,0
Viveka,f,,0,0
Valerie,f,,0,0
Vanessa,f,,0,0
Vera,f,,0,0
Verena,f,,0,0
Veronika,f,,0,0
Victoria,f,,0,0
Viola,f,,0,0
Vivienne,f,,0,0
Wiebke,f,,0,0
Wilma,f,,0,0
Xenia,f,,0,0
Yasmina,f,,0,0
Ylvie,f,,0,0
Zara,f,,0,0
Zeynep,f,,0,0
Zoe ,f,,0,0
Zümra,f,,0,0
Margarethe,f,,0,0
Edith,f,,0,0
Ilse,f,,0,0
Hedwig,f,,0,0
Dora,f,,0,0
Meta,f,,0,0
Liddy,f,,0,0
Henny,f,,0,0
Wilhelmine,f,,0,0
Ottilie,f,,0,0
